21_11_2019/Bat02/_ch_1_rec_03_seq_01,21_11_2019/Bat02/_ch_1_rec_03_seq_02,04_12_2019/Bat01_ch_1_rec_01_seq_01,04_12_2019/Bat01_ch_1_rec_01_seq_02,04_12_2019/Bat01_ch_1_rec_02_seq_02,05_12_2019/Bat01_ch_1_rec_01_seq_01,21_11_2019/Bat02_ch_1_rec_06_seq_01,05_12_2019/Bat02_ch_1_rec_01_seq_01,05_12_2019/Bat04_ch_2_rec_01_seq_01,05_12_2019/Bat05_ch_1_rec_01_seq_01,06_12_2019/Bat02_ch_1_rec_03_seq_01,06_12_2019/Bat03_ch_1_rec_02_seq_01,07_12_2019/Bat01_ch_2_rec_01_seq_01,07_12_2019/Bat01_ch_2_rec_01_seq_02,07_12_2019/Bat01_ch_1_rec_02_seq_01,07_12_2019/Bat01_ch_1_rec_02_seq_02,07_12_2019/Bat02_ch_1_rec_04_seq_01,07_12_2019/Bat04_ch_3_rec_01_seq_01,07_12_2019/Bat05_ch_1_rec_01_seq_01
0.0222066666666666,1.95,0.0365566666666666,1.5115316666666667,2.259442787084423,0.0025604475629388,0.0191316666666666,2.6031566666666666,0.7632816666666666,0.0177388959995085,0.0058066666666666,0.1626316666666666,0.0119566666666666,1.4643816666666667,0.0109316666666666,2.18764482966417,2.323331666666667,2.5754816666666667,0.0068316666666666664
0.0519316666666666,1.9752,0.079687030120884,1.5351066666666666,2.2845108266166783,0.0287319222986432,0.0693566666666666,2.6349316666666667,0.7827566666666667,0.0396316666666666,0.0447566666666666,0.1954316666666666,0.0355316666666666,1.4838566666666666,0.0304066666666666,2.2116670759981005,2.354081666666666,2.5990377324876253,0.030406666666666665
0.0785816666666666,1.999,0.1062566666666666,1.5638066666666668,2.315131666666667,0.0607192803089486,0.1021566666666666,2.6647708378811377,0.8032566666666666,0.0632066666666666,0.0683316666666666,0.2446316666666666,0.0580816666666666,1.5105066666666669,0.0519316666666666,2.238358460813579,2.382781666666667,2.6227836625816887,0.057056666666666665
0.1072816666666666,2.0256,0.1319857862216936,1.589806665507805,2.3510066666666667,0.0902141169158536,0.1359816666666666,2.696431666666667,0.8258066666666666,0.0843355396278088,0.0960066666666666,0.2774316666666667,0.0806316666666666,1.5340816666666666,0.0785816666666666,2.2679816666666666,2.4248066666666666,2.6451816666666668,0.08370666666666667
0.1380316666666666,2.0501,0.1587971738429947,1.6171066666666667,2.4662541132255305,0.1168010118854581,0.1938941666666666,2.7271816666666666,0.8565566666666666,0.1134316666666666,0.1185566666666666,0.3266316666666666,0.1031816666666666,1.5597066666666666,0.1042066666666666,2.285406666666667,2.4545316666666666,2.6656816666666665,0.11138166666666667
0.1616066666666666,2.0763066666666665,0.1842845423225032,1.6417066666666666,2.4965566666666668,0.1493066666666666,0.2261816666666666,2.7569066666666666,0.8821816666666666,0.1493066666666666,0.1462316666666666,0.3666066666666667,0.1288066666666666,1.5894316666666666,0.1298316666666666,2.3079566666666667,2.4863066666666667,2.6841316666666666,0.13393166666666667
0.1882566666666666,2.1173066666666664,0.2231066666666666,1.6673316666666669,2.5344816666666667,0.1790316666666666,0.2538566666666667,2.7856066666666663,0.9129316666666668,0.1790316666666666,0.170881501948623,0.3994066666666667,0.1544316666666666,1.6130066666666667,0.1523816666666666,2.333581666666667,2.528331666666667,2.7046316666666668,0.16058166666666668
0.2133691666666666,2.1767566666666665,0.2518095185539282,1.6939816666666667,2.5688191666666667,0.2026066666666666,0.2805066666666667,2.815331666666667,0.9334316666666668,0.2097816666666666,0.1989624564830346,0.4297758712112581,0.1759566666666666,1.6422191666666666,0.1769816666666666,2.358181666666667,2.558056666666667,2.7220566666666666,0.20465666666666665
0.2343816666666666,2.2372316666666667,0.2743178439644032,1.7155066666666667,2.5978613207698715,0.2323316666666666,0.3102316666666667,2.8409566666666666,0.9549566666666668,0.2384816666666666,0.2251566666666666,0.4619316666666667,0.1954316666666666,1.6688691666666666,0.2031613113117767,2.3776566666666668,2.5929066666666665,2.7456316666666667,0.23028166666666666
0.2569316666666666,2.269006666666667,0.2979316666666666,1.7411316666666667,2.632369166666667,0.2589816666666666,0.3420066666666667,2.8711941666666667,0.9816066666666666,0.2641066666666666,0.2600066666666666,0.4926816666666667,0.2159316666666666,1.6970566666666669,0.2318469662681807,2.4022566666666667,2.621606666666666,2.7681816666666665,0.26718166666666665
