21_11_2019/Bat02_ch_1_rec_03_seq_01,21_11_2019/Bat04_ch_2_rec_01_seq_01,21_11_2019/Bat04_ch_2_rec_02_seq_01,21_11_2019/Bat04_ch_2_rec_03_seq_01,21_11_2019/Bat04_ch_3_rec_06_seq_01,04_12_2019/Bat01_ch_1_rec_02_seq_01,04_12_2019/Bat01_ch_1_rec_03_seq_01,05_12_2019/Bat01_ch_1_rec_01_seq_02,05_12_2019/Bat01_ch_1_rec_02_seq_01,05_12_2019/Bat02_ch_1_rec_02_seq_01,05_12_2019/Bat03_ch_2_rec_01_seq_01,05_12_2019/Bat04_ch_2_rec_01_seq_02,05_12_2019/Bat05_ch_1_rec_01_seq_02,05_12_2019/Bat06_ch_1_rec_02_seq_01,06_12_2019/Bat02_ch_2_rec_01_seq_01,06_12_2019/Bat02_ch_1_rec_03_seq_02,06_12_2019/Bat03_ch_1_rec_02_seq_02,06_12_2019/Bat04_ch_2_rec_01_seq_01,06_12_2019/Bat04_ch_1_rec_06_seq_01,06_12_2019/Bat04_ch_1_rec_07_seq_01,06_12_2019/Bat05_ch_3_rec_01_seq_01,06_12_2019/Bat05_ch_2_rec_02_seq_01,06_12_2019/Bat05_ch_2_rec_03_seq_01,06_12_2019/Bat05_ch_2_rec_05_seq_01,07_12_2019/Bat01_ch_1_rec_02_seq_03,07_12_2019/Bat02_ch_1_rec_04_seq_02,07_12_2019/Bat02_ch_2_rec_05_seq_01,07_12_2019/Bat04_ch_3_rec_01_seq_02,07_12_2019/Bat05_ch_1_rec_01_seq_02,07_12_2019/Bat05_ch_1_rec_02_seq_01
4.75975666666667,0.979556666666667,1.92255666666667,0.534706666666667,2.27515666666667,0.593131666666667,7.43603166666667,1.37520666666667,2.3981566666666665,4.690056666666667,1.0666816666666668,2.9414066666666665,2.3571566666666666,1.5463816666666668,0.6208066666666666,2.871928275492855,2.201356666666667,1.0041566666666666,1.9512566666666664,1.8354316666666664,2.5375566666666667,0.6607816666666667,2.0240316666666667,3.0428816666666667,3.609706666666667,5.042656666666667,0.9590701945257696,4.813056666666666,2.8911816666666668,1.4200480287304185
4.78128166666667,1.00928166666667,1.94100666666667,0.551106666666667,2.30385666666667,0.615681666666667,7.44525666666667,1.39775666666667,2.4237816666666667,4.715681666666667,1.107681666666667,2.9793316666666665,2.3684316666666665,1.5750816666666667,0.6495066666666667,2.905531666666666,2.225956666666667,1.0256816666666666,1.9779066666666667,1.8569566666666664,2.5631816666666665,0.6802566666666666,2.0568316666666666,3.0633816666666664,3.6220066666666666,5.066231666666667,0.9766434044042832,4.838681666666667,2.9065566666666665,1.4387566666666667
4.80383166666667,1.03490666666667,1.96253166666667,0.567506666666667,2.33153166666667,0.648481666666667,7.45345666666667,1.42543166666667,2.447356666666667,4.740281666666666,1.1527816666666666,3.0111066666666666,2.3786816666666666,1.6068566666666666,0.6700066666666666,2.9301316666666666,2.247481666666667,1.0451566666666667,2.0025066666666667,1.8784816666666664,2.5970066666666667,0.7046669589677846,2.0901441666666667,3.0818316666666665,3.6332816666666665,5.086731666666667,0.9959739352706484,4.864306666666667,2.9209066666666668,1.4572066666666668
4.82638166666667,1.05848166666667,1.98764416666667,0.586469166666667,2.35510666666667,0.672056666666667,7.46473166666667,1.44900666666667,2.468881666666667,4.764881666666667,1.1876316666666666,3.0695316666666668,2.3889316666666667,1.6345316666666667,0.6925566666666667,2.9619066666666667,2.2659316666666665,1.0666816666666668,2.0250566666666665,1.8979566666666667,2.628781666666667,0.7243316666666667,2.1306316666666665,3.1023316666666667,3.6435316666666666,5.1144066666666665,1.0194885637271358,4.898131666666667,2.9373066666666667,1.4777066666666667
4.84995666666667,1.08615666666667,2.01788166666667,0.605431666666667,2.37560666666667,0.695090013185532,7.48318166666667,1.47463166666667,2.4893816666666666,4.7874316666666665,1.2204316666666666,3.0951566666666666,2.4002066666666666,1.6601566666666667,0.7130566666666667,2.9926566666666665,2.2833566666666667,1.0861566666666669,2.0424816666666668,1.9184566666666667,2.6626066666666666,0.7509816666666667,2.1552191183749176,3.117706666666667,3.653781666666666,5.1338816666666665,1.0405764155813524,4.934006666666667,2.9496066666666665,1.4992316666666667
4.87455666666667,1.10768166666667,2.04658166666667,0.623881666666667,2.39610666666667,0.715434751401864,7.50265666666667,1.49615666666667,2.5180816666666668,4.816131666666666,1.2481066666666667,3.120781666666667,2.4104566666666667,1.6939816666666667,0.7397066666666666,3.0223816666666665,2.3007816666666665,1.1046066666666667,2.060931666666667,1.9410066666666668,2.693356666666667,0.7755816666666666,2.1876746357201866,3.1320566666666667,3.664031666666667,5.1605316666666665,1.056978078134632,4.968120950316891,2.963956666666667,1.5207566666666668
4.89710666666667,1.12920666666667,2.07425666666667,0.642331666666667,2.41558166666667,0.739170279320919,7.52418166666667,1.52178166666667,2.5478066666666668,4.844831666666667,1.2785217804708953,3.1453816666666667,2.4196816666666665,1.7278066666666667,0.7591816666666666,3.0572316666666666,2.316156666666666,1.1210066666666667,2.078356666666666,1.9625316666666663,2.7210316666666667,0.7960816666666667,2.210202583053961,3.1453816666666667,3.6742816666666656,5.185131666666667,1.07162241970006,,2.977281666666667,1.5474066666666666
4.91863166666667,1.15175666666667,2.09834416666667,0.660781666666667,2.43710666666667,0.763753504665653,7.54468166666667,1.54638166666667,2.5672816666666667,4.871481666666667,1.3051425440324946,3.1576816666666665,2.430956666666667,1.7575316666666667,0.7807066666666667,3.086439479359725,2.3305066666666665,1.1394566666666666,2.093456491161449,1.9871316666666667,2.7579316666666664,0.8196566666666667,2.256022136953164,3.1597316666666666,3.6876066666666665,5.218956666666666,1.0868525349281055,,2.9916316666666667,1.5689316666666666
4.94323166666667,1.17738166666667,2.12704416666667,0.679231666666667,2.45248166666667,0.790455973574589,,1.57200666666667,2.5888066666666667,4.897106666666667,1.339749536662574,3.1710066666666665,2.4453066666666667,1.7869637547092838,0.7991566666666666,3.1074566666666668,2.3469066666666665,1.1579066666666666,2.1112503995953475,2.009681666666667,2.7876566666666664,0.8391316666666667,2.3510066666666667,3.1740816666666665,3.701956666666667,5.252413409809702,1.098568008180448,,3.0059816666666666,1.592110975003171
4.96783166666667,1.19583166666667,2.15625666666667,0.695631666666667,2.47093166666667,0.816734593770684,,1.59865666666667,2.6082816666666666,4.921706666666666,1.3711620376652611,3.1945816666666667,2.455556666666667,1.8129381335408388,0.8278566666666667,3.1316317886354827,2.3622816666666666,1.1763566666666667,2.129044308029246,2.028131666666667,2.8184066666666667,0.8565566666666666,2.5139816666666666,3.1874066666666665,3.720406666666667,,1.1091119341075564,,3.020331666666667,1.6109566666666666
