04_12_2019/Bat01_ch_1_rec_02_seq_01,04_12_2019/Bat01_ch_1_rec_02_seq_02,21_11_2019/Bat02_ch_1_rec_05_seq_01,21_11_2019/Bat02_ch_1_rec_05_seq_02,21_11_2019/Bat02_ch_1_rec_06_seq_01,04_12_2019/Bat03_ch_2_rec_01_seq_01,07_12_2019/Bat02_ch_2_rec_01_seq_01,07_12_2019/Bat02_ch_2_rec_01_seq_02,07_12_2019/Bat02_ch_2_rec_02_seq_01,07_12_2019/Bat02_ch_2_rec_03_seq_01,05_12_2019/Bat01_ch_1_rec_02_seq_02,05_12_2019/Bat02_ch_1_rec_02_seq_02,05_12_2019/Bat04_ch_2_rec_01_seq_03,05_12_2019/Bat05_ch_1_rec_01_seq_03,06_12_2019/Bat02_ch_2_rec_01_seq_02,06_12_2019/Bat02_ch_2_rec_02_seq_01,06_12_2019/Bat02_ch_2_rec_02_seq_02,06_12_2019/Bat02_ch_1_rec_03_seq_03,06_12_2019/Bat03_ch_1_rec_02_seq_03,06_12_2019/Bat04_ch_1_rec_07_seq_02,06_12_2019/Bat05_ch_2_rec_02_seq_02,06_12_2019/Bat05_ch_2_rec_03_seq_02,06_12_2019/Bat05_ch_2_rec_03_seq_03,06_12_2019/Bat05_ch_2_rec_05_seq_02,07_12_2019/Bat01_ch_1_rec_02_seq_04,07_12_2019/Bat02_ch_1_rec_04_seq_03,07_12_2019/Bat02_ch_2_rec_05_seq_02,07_12_2019/Bat05_ch_1_rec_01_seq_03
6.661358330941802,8.424131666666666,4.650081666666667,5.456756666666666,4.9524566666666665,6.7872009976030085,4.278006666666666,7.867556666666666,4.165256666666667,5.335806666666667,7.477031666666667,6.990500980927387,3.898756666666667,6.989123693209777,8.663478814169142,5.80674773419446,8.99110834718246,6.203995927920898,5.317356666666667,7.799906666666667,3.5389816666666665,4.725639970019622,6.7851566666666665,7.359056831938446,4.450206666666666,5.854456666666667,2.311093247803532,5.415756666666667
6.689619276934474,8.451294166666667,4.704406666666666,5.501856666666667,4.972956666666667,6.807399512901696,4.309781666666667,7.910606666666666,4.196006666666666,5.357331666666667,7.500606666666667,7.018856666666666,3.9653816666666666,7.013630868267993,8.686928648575337,5.822455723280852,9.020681666666666,6.227495951508439,5.344006666666667,7.821431666666666,3.5594816666666667,4.756681666666666,6.8148816666666665,7.387856666666667,4.506986576142653,5.875154866625647,2.351315182666045,5.440329455391086
6.726358506724948,8.478456666666666,4.735156666666667,5.545931666666666,5.001656666666666,6.826876652654001,4.339506666666667,7.940331666666666,4.229831666666667,5.459831666666667,7.524181666666666,7.049606666666667,3.997156666666666,7.040861062777121,8.714206666666668,5.8474903308872905,9.059631666666666,6.250324545850622,5.3716816666666665,7.841931666666666,3.585106666666667,4.7924844815575165,6.866131666666667,7.421681666666666,4.53361473523172,5.897506666666667,2.3786816666666666,5.477256666666666
6.7687566666666665,8.523556666666666,4.786919166666666,5.581806666666667,5.024206666666666,6.8477965434990695,4.367181666666666,7.964297824185169,4.269806666666667,5.477256666666666,7.569281666666667,7.077281666666667,4.02260856351782,7.065368237835337,8.758235287892132,5.8739316666666666,9.085256666666666,6.27113885245673,5.390131666666667,7.864481666666666,3.6076566666666654,4.816131666666666,6.8876566666666665,7.455042968109837,4.558856666666666,5.915956666666666,2.404306666666667,5.505956666666667
6.797952903239716,8.556356666666666,4.811519166666667,5.627931666666667,5.048806666666667,6.876381666666667,4.399981666666666,7.996544179559443,4.304656666666666,5.499806666666666,7.588756666666667,7.109056666666667,4.046356666666667,7.091631666666666,8.778781666666667,5.897506666666667,9.113956666666668,6.295206666666667,5.408581666666667,7.886006666666667,3.6332816666666665,4.842781666666667,6.911231666666667,7.493431666666667,4.5793566666666665,5.948756666666666,2.4362281562646824,5.534656666666667
6.849841409834361,8.584031666666666,4.842269166666666,5.670981666666667,5.072381666666667,6.900981666666667,4.427656666666667,8.024233984717787,4.358981666666667,5.526456666666666,7.609838955675828,7.133656666666667,4.073006666666666,7.119306666666667,8.808506666666666,5.9200566666666665,9.149831666666667,6.31478175340502,5.429081666666667,7.908556666666667,3.6630066666666665,4.882756666666666,6.932756666666666,7.534431666666666,4.600881666666667,5.973356666666667,2.4719809872535823,5.570531666666667
6.896184734925914,8.608631666666666,4.859181666666666,5.705831666666667,5.094931666666667,6.926606666666666,4.455331666666667,8.046931666666667,4.383581666666666,5.551569166666667,7.632831666666666,7.157231666666667,4.145437976882162,7.152619166666667,8.843356666666667,5.953881666666667,9.183656666666666,6.341638923219352,5.449581666666667,7.932131666666667,3.6876066666666665,4.904820396780922,6.9635066666666665,7.581069166666666,4.622745101071515,5.996931666666667,2.502706666666666,5.598206666666667
6.927631666666667,8.638356666666667,4.8796816666666665,5.751956666666667,5.123119166666667,6.9501816666666665,4.486081666666666,8.066406666666667,4.413306666666666,5.585179473452698,7.657944166666667,7.1849066666666666,4.1652123716033564,7.180806666666666,8.873081666666666,5.979535614144781,9.215431666666667,6.3604389420893845,5.468031666666667,7.960831666666666,3.715281666666667,4.9414920385274055,6.989131666666666,7.616431666666666,4.644956666666666,6.030756666666667,2.533735877143501,5.619219166666666
6.952231666666667,8.663981666666666,4.902231666666666,5.790906666666666,5.159506666666666,6.974781666666667,4.515806666666666,8.087931666666666,4.445081666666667,5.585394166666667,7.689206666666666,7.208481666666667,4.194981666666667,7.207456666666666,8.903831666666667,6.017431666666667,9.258481666666666,6.401806666666666,5.4875066666666665,7.985431666666667,3.7409066666666666,4.990381666666667,7.0096316666666665,7.653331666666666,4.666481666666667,6.053306666666667,2.580458326731268,5.6525316666666665
6.974781666666667,8.680381666666667,4.925806666666666,5.828831666666667,5.198456666666667,6.9963066666666665,4.547581666666667,8.106381666666667,4.474806666666667,5.610491758802603,7.718931666666666,7.228126634611635,4.2226566666666665,7.233594166666666,9.041181666666668,6.049206666666667,9.293331666666669,6.422306666666667,5.511081666666667,8.014131666666668,3.771656666666667,5.019081666666667,7.032181666666666,7.707656666666667,4.688006666666666,6.078931666666667,2.617430004231153,5.685844166666667
6.999381666666666,8.697806666666667,4.950406666666667,5.865731666666667,5.250731666666667,7.015781666666666,4.572181666666666,8.123806666666667,4.504531666666667,5.633569166666667,7.750706666666667,7.251949409045372,4.253056317384047,7.260756666666666,9.075006666666669,6.087131666666667,9.336381666666666,6.442806666666667,5.536706666666666,8.042831666666666,3.7952316666666666,5.04315139982462,7.056781666666667,7.747631666666667,4.714790577587071,6.104556666666666,2.651151424368411,5.711585848094844
