22_11_2019/Bat01_ch_2_rec_04_seq_01,21_11_2019/Bat02_ch_1_rec_06_seq_01,04_12_2019/Bat03_ch_2_rec_01_seq_01,04_12_2019/Bat03_ch_2_rec_02_seq_01,05_12_2019/Bat02_ch_1_rec_03_seq_01,05_12_2019/Bat02_ch_1_rec_04_seq_01,07_12_2019/Bat02_ch_2_rec_01_seq_01,07_12_2019/Bat02_ch_2_rec_02_seq_01,07_12_2019/Bat02_ch_2_rec_03_seq_01,07_12_2019/Bat04_ch_1_rec_02_seq_01,07_12_2019/Bat04_ch_1_rec_03_seq_01
0.9016566666666668,2.6052066666666667,2.2970336523312778,1.5036616934989482,1.604868265378867,1.764013390365793,2.1490816666666666,1.9661191666666664,1.392457594803934,2.5765066666666665,2.45526959497549
0.9354816666666668,2.6328816666666666,2.3305066666666665,1.536131666666667,1.6326215092125549,1.7818086055045577,2.1695816666666667,1.9881566666666664,1.4121066666666666,2.6067545510255017,2.485281666666667
0.9611066666666668,2.7620316666666667,2.3643316666666667,1.5873816666666667,1.6577844502884318,1.8057066666666663,2.1982816666666665,2.0117316666666665,1.4326066666666666,2.636981666666667,2.513362966221148
0.9933941666666668,2.790445819631269,2.390981666666667,1.6078816666666669,1.686277780624351,1.8784816666666664,2.226981666666666,2.0414566666666665,1.4561816666666667,2.6677316666666666,2.581328413626199
1.054894166666667,2.8132816666666667,2.4145566666666665,1.6345316666666667,1.7042316666666666,1.8989816666666663,2.2515816666666666,2.0670816666666667,1.4802561927507727,2.7005316666666666,2.6103316666666667
1.0759066666666666,2.845056666666667,2.439156666666667,1.6529816666666666,1.7247316666666666,1.9235816666666667,2.274131666666667,2.095781666666667,1.5115316666666667,2.7582178290838013,2.639421784871857
1.1046066666666667,2.875806666666666,2.4617066666666667,1.6755316666666666,1.7452316666666667,1.9481816666666667,2.301806666666667,2.1224316666666665,1.5402316666666669,2.8020066666666668,2.688231666666667
1.1425316666666667,2.901431666666667,2.4914316666666667,1.6925157802904347,1.7626566666666663,1.9697066666666667,2.316156666666666,2.1511316666666667,1.5750816666666667,2.8327566666666666,2.7282066666666664
1.167131666666667,2.927056666666666,2.5109066666666666,1.7103816666666667,1.782131666666667,1.990206666666667,2.333581666666667,2.179831666666667,1.6078816666666669,2.867606666666666,2.7599816666666666
1.1978816666666667,2.956781666666666,2.5293566666666667,1.7503566666666666,1.7954566666666667,2.0086566666666665,2.349981666666667,2.2075066666666667,1.6427316666666667,2.9034816666666665,2.7927816666666665
1.222481666666667,2.9875316666666665,2.5478066666666668,1.7657316666666667,1.8139427022593144,2.028131666666667,2.366381666666667,2.2403066666666667,1.6775816666666667,2.9373066666666667,2.820456666666667
